Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5
11	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
12	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
13	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
14	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
15	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
16	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
17	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
18	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
19	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
20	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
21	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
22	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
23	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
24	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
25	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
26	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
27	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
28	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
29	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
30	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
31	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
32	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
33	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
34	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
35	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
36	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
37	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
38	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
39	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
40	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
41	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
42	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
43	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
44	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
45	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
46	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
47	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
48	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	Pic(rect_20,1.000,-3.000,150.000,150.000)	
49	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
50	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
51	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
52	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
53	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
54	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
55	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
56	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
57	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
58	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
59	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
60	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	Pic(rect_25,1.000,-3.000,150.000,150.000)	
61	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
62	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
63	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
64	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
65	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
66	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
67	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
68	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
69	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
70	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
71	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
72	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	Pic(rect_5,1.000,-3.000,150.000,150.000)	
73	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
74	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
75	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
76	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
77	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
78	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
79	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
80	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
81	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
82	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
83	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
84	't_info', 'T2 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	Pic(rect_10,1.000,-3.000,150.000,150.000)	
85	't_info', 'Same' 	2 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
86	't_info', 'T1 Change' 	1 	1 	lp_dstrctr_nocue_mobile_blank	Fix(0.000,0.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_5,1.000,3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	Pic(rect_15,1.000,-3.000,150.000,150.000)	
